artist_id,categories
b'100388',['metal']
b'11932',['pop']
b'56079',['punk']
b'105596',['classical']
b'22332',['rock']
b'58406',['NA']
b'12540',['NA']
b'89394',['metal']
b'7749',['NA']
b'85598',['metal']
b'21513',['NA']
b'72211',['NA']
b'23577',['hip hop']
b'44027',['NA']
b'7294',['hip hop']
b'105893',['house']
b'41538',['NA']
b'65634',['NA']
b'17611',['NA']
b'29361',['NA']
b'75465',['NA']
b'61553',['NA']
b'51968',['trance']
b'36379',['NA']
b'5877',['NA']
b'5255',['NA']
b'31691',['NA']
b'11754',['NA']
b'9413',['NA']
b'87783',['NA']
b'12407',['NA']
b'58135',['NA']
b'88219',"['pop', 'dance']"
b'59754',['hip hop']
b'53379',['NA']
b'84862',['NA']
b'93519',['NA']
b'81828',['pop']
b'67954',['NA']
b'76793',['NA']
b'48684',['hip hop']
b'103834',['hip hop']
b'12472',['electro']
b'70597',['crunk']
b'33507',['hip hop']
b'16263',['NA']
b'23508',['NA']
b'15810',['dance']
b'47363',['NA']
b'104024',['pop']
b'18581',['r&b']
b'67079',['trance']
b'102560',['metal']
b'30051',['trance']
b'77492',['house']
b'46480',['NA']
b'35450',['dance']
b'105249',['NA']
b'73703',['dance']
b'84555',"['metal', 'industrial']"
b'80444',['dance']
b'1372',['r&b']
b'60050',['NA']
b'22638',['pop']
b'7694',['r&b']
b'80280',['hip hop']
b'100785',['NA']
b'84310',['electro']
b'39254',['NA']
b'31490',['NA']
b'89504',['NA']
b'24877',['NA']
b'39466',['metal']
b'20285',['house']
b'27214',['NA']
b'45152',['NA']
b'1661',['NA']
b'22587',['electro']
b'60728',['NA']
b'91680',['r&b']
b'78264',['NA']
b'89299',['hip hop']
b'83690',['NA']
b'107066',['NA']
b'10192',['pop']
b'52730',['NA']
b'45148',['NA']
b'28956',['electro']
b'44330',['NA']
b'31599',['house']
b'47602',['NA']
b'1405',['NA']
b'92255',['trance']
b'49157',['NA']
b'55129',['NA']
b'76350',['NA']
b'44554',['NA']
b'4794',['house']
b'102975',['metal']
b'73978',['NA']
b'84422',['NA']
b'105274',['club']
b'90727',['NA']
b'16058',['NA']
b'24024',['NA']
b'45241',['NA']
b'18798',['NA']
b'96953',['NA']
b'63198',['trance']
b'3302',['hip hop']
b'40354',['NA']
b'42860',['electro']
b'83363',['NA']
b'32128',['NA']
b'67908',['NA']
b'31898',['electro']
b'2170',['hip hop']
b'2836',['NA']
b'87966',['NA']
b'83790',['NA']
b'101347',['NA']
b'16225',['NA']
b'58593',['NA']
